inscricao;matricula;graduacao;Nome;OBM;Email;Telefone;Nota do Exame;Nota da Ficha;situacao
1000;12345678; ST; MANOEL ROBERTO RIBEIRO DE SOUSA;1CIA1BBM;rrsousa2008@email.com;11988922101;0;0;DEFERIDA
1001;91011121; ST; JARBAS FERREIRA LIMA;CMR;limajarbas@email.com;11988072649;0;0;DEFERIDA
1002;31415161; ST; MANOEL PAULINO DOS SANTOS;CGP/SSPDS;manoelpaulino1968@email.com;11987727409;0;0;DEFERIDA
1003;71819202; ST; ROBERIO CESAR PINTO DE MENESES;7CIA1BBM;roberiomeneses@email.com;11988967043;0;0;DEFERIDA
1004;12223242; ST; RINALDO JOSE GALVAO DE FREITAS;CIOPAER/SOBRAL;freitasgalvao@email.com;11996753413;0;0;DEFERIDA
1005;52627282; ST; FRANCISCO JALDEMI CHAVES MOREIRA;2CIA1BBM;jaldemi@email.com;12985096383;0;0;DEFERIDA
1006;93031323; ST; ALEXANDRE POSSIDONIO COSTA;CGD;bombeiro1424@email.com;13999223611;0;0;DEFERIDA
1007;33435363; ST; AUCENY ALVES MARINHO;CMCB;auceny@email.com;14999123080;0;0;DEFERIDA
1008;73839404; ST; LUIS CARLOS MACIEL DE FREITAS;6CIA3BBM;luis-1303@email.com;15986840840;0;0;DEFERIDA
1009;14243444; ST; ALEXANDRE DE OLIVEIRA LIMA;6CIA1BBM;liminha37a1975@email.com;16986591262;0;0;DEFERIDA
